Comment,Designator,Footprint,LCSC Part #
0.002R 1%,R35 R43 R51 R67 R75 R83 R99 R115,2512,
0R,J8 J9 J10,0805,
0R,R91 R92,0402,
1K 1%,R33 R34 R40 R41 R42 R48 R49 R50 R56 R65 R66 R72 R73 R74 R80 R81 R82 R88 R97 R98 R104 R113 R114 R120,1206,
1N4007,D9 D10 D12 D13,SMA,
1nF 50V,C5 C51,C0603,
1uF 50V,C45 C57,C0805,
2.2uF 10V,C21 C46,C0603,
4.2uH,L2,SRR5228A,
4.9uH,L1,SRR5228A,
4.99K,R60 R61 R105 R107,0603,
4x1K 1206,R63 R64 R89 R90 R110,742C083103JP,
4x10K 1206,R93,742C083103JP,
7.5K,R6 R12,0402,
9.09K,R4,0402,
10K,R95,0402,
10K,R96 R108,0805,
10R,R7 R9,0402,
10R 1W,R62 R106,2512,
12.7K,R14,0402,
20K,R8,0402,
22uF - 10V,C14 C15 C17 C18,C1206,
22uF 25V,C1 C2,C1206,
22uF 400V,C35 C47,WCAP-HSAH_D6.3H7.7P2.2,
33K,R10,0402,
33nF,C24 C25 C26 C27 C28 C29 C30 C31 C32 C36 C37 C38 C39 C40 C41 C42 C43 C44 C48 C49 C50 C54 C55 C56,C1206,
33pF,C11 C12,0402,
40.2K,R11 R13,0402,
100K,R3 R5 R94,0402,
100nF,C3 C4 C6 C7 C8 C9,0402,
100nF,C19 C20 C33 C34,C0402,
100uF,C10 C13 C16,100UF-16V,
100uF 16V,C23 C53,WCAP-PSHP_6.3X5.8(DXL),
220nF 16V,C22 C52,C0805,
330R 1W,R17 R18 R19 R20 R21 R22 R23 R24,2512,
470K,R36 R37 R38 R39 R44 R45 R46 R47 R52 R53 R54 R55 R68 R69 R70 R71 R76 R77 R78 R79 R84 R85 R86 R87 R100 R101 R102 R103 R116 R117 R118 R119,1206,
499K,R1 R2,0402,
ACPL-227,OPT2 OPT3,SO8,
ACPL-247,OPT1,SO16,
FNR6028S102MT 1mH,L3 L4 L5 L6,WE-HEPA_6030,
FPC20-H,J1,FPC20,
HLW8032,IC6 IC7 IC8 IC10 IC11 IC12 IC14 IC16,SO8,
JP,J7 R57 R58 R59,SJ,
MBRA340T3,D2 D3 D4 D5 D6 D7 D8,SMA,
MBRA340T3G,D1,SMA,
MCP23017-E/ML,IC4,QFN28[6X6]ML,
MP150GJ,IC5 IC13,SOT23-5,
MP2315GJ-Z,IC1,SOT65P280X110-8N,
MP2315S ,IC2,SOT65P280X110-8N,
SMAJ15A,Z1,SUPRESSOR_SMAJ,
SN74HC151PWR,IC9,TSSOP16,
TP,3VDC 3VFB 5V-NI1 5V-NI2 5VDC 5VFB 12VDC FB-NI1 FB-NI2 GND GND-3 GND-5 L-REC1 L-REC2 SW SW3 VNI1 VNI2,TP,
ULN2803A,IC3,SO18,
US1J,D11 D14,SMA,
0.002R 1%,R25 R26 R27 R28 R29 R30 R31 R32,2512,
